"","doi","score","title","year","title_score","merge_score","fullCitation","authors","journal","cite_count_crossref","journal_tf","original_citation","citation_rank","id"
"1","http://dx.doi.org/10.3390/ma8063101",1,"Photoluminescent ZnO Nanoparticles and Their Biological Applications",2015,0,0,"Zheng-Yong Zhang, Huan-Ming Xiong, 2015, 'Photoluminescent ZnO Nanoparticles and Their Biological Applications', <i>Materials</i>, vol. 8, no. 6, pp. 3101-3127","Zheng-Yong Zhang, Huan-Ming Xiong","Materials",3,0,"","1","sample_id"
"2","http://dx.doi.org/10.1127/0077-7749/2008/0248-0309",1,"New material of large-bodied ornithischian dinosaurs, including an iguanodontian ornithopod, from the Quantou Formation (middle Cretaceous: Aptian–Cenomanian) of Jilin Province, northeastern China",2008,0,0,"Chen Jun, Richard J. Butler, Jin Liyong, 2008, 'New material of large-bodied ornithischian dinosaurs, including an iguanodontian ornithopod, from the Quantou Formation (middle Cretaceous: Aptian–Cenomanian) of Jilin Province, northeastern China', <i>Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen</i>, vol. 248, no. 3, pp. 309-314","Chen Jun, Richard J. Butler, Jin Liyong","Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen",0,0,"","2","sample_id"
"3","http://dx.doi.org/10.1127/0077-7749/2008/0248-0345",1,"A new Concavinae (Cirripedia, <I>Chesaconcavus</I>) from the Late Burdigalian (Miocene) of Lower Bavaria (Germany)",2008,0,0,"René-Pierre Carriol, Simon Schneider, 2008, 'A new Concavinae (Cirripedia, &lt;I&gt;Chesaconcavus&lt;/I&gt;) from the Late Burdigalian (Miocene) of Lower Bavaria (Germany)', <i>Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen</i>, vol. 248, no. 3, pp. 345-354","René-Pierre Carriol, Simon Schneider","Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen",2,0,"","3","sample_id"
"4","http://dx.doi.org/10.1127/0077-7749/2008/0248-0355",1,"Buccal soft anatomy in <I>Lesothosaurus</I> (Dinosauria: Ornithischia)",2008,0,0,"Fabien Knoll, 2008, 'Buccal soft anatomy in &lt;I&gt;Lesothosaurus&lt;/I&gt; (Dinosauria: Ornithischia)', <i>Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen</i>, vol. 248, no. 3, pp. 355-364","Fabien Knoll","Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen",1,0,"","4","sample_id"
"5","http://dx.doi.org/10.1071/mf07083",1," Contraction of the banana prawn ( Penaeus merguiensis ) fishery of Albatross Bay in the Gulf of Carpentaria, Australia ",2008,0,0,"Jeremy D. Prince, Neil R. Loneragan, Thomas A. Okey, 2008, ' Contraction of the banana prawn ( Penaeus merguiensis ) fishery of Albatross Bay in the Gulf of Carpentaria, Australia ', <i>Marine and Freshwater Research</i>, vol. 59, no. 5, p. 383","Jeremy D. Prince, Neil R. Loneragan, Thomas A. Okey","Marine and Freshwater Research",2,0,"","5","sample_id"
"6",NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,"y89hn9y98mu90pu08796b87","1","sample_id"
